area,category,previous_open_tickets,auto_close,closed,cancelled,in_progress,open,not_an_issue,resolved,on_hold,reopened,total_tickets
apartment,common_area,251,201,5,0,0,59,4,12,0,0,281
apartment,data_correction,1,1,0,0,0,0,0,0,0,0,1
apartment,gas_queries,8,0,1,0,0,0,0,0,0,0,1
apartment,general_suggestions,2,0,0,0,0,2,0,0,0,0,2
apartment,house_keeping,1,54,4,0,0,9,5,3,0,0,75
apartment,housekeeping,1,0,0,0,0,0,0,0,0,0,0
apartment,internal,5,525,3,0,2,10,18,36,0,0,594
apartment,maintenance_billing,1,4,0,0,0,0,2,0,0,0,6
apartment,nbh_issues,1,1,0,0,0,0,0,0,0,0,1
apartment,others,3,0,0,0,0,0,0,0,0,0,0
apartment,others_issues,1,3,0,0,0,4,3,4,0,0,14
apartment,parking,1,0,0,0,0,0,0,0,0,0,0
apartment,security_incident,20,0,0,0,0,14,1,0,0,0,15
apartment,security_suggestions,3,0,0,0,0,1,0,0,0,0,1
apartment,stp_issues,0,0,1,0,0,0,0,0,0,0,1
apartment,wtp_issues,0,3,0,0,0,0,0,0,0,0,3
area,common_area,26,143,8,0,0,54,2,6,1,0,214
area,gas_queries,1,0,0,0,0,0,0,0,0,0,0
area,house_keeping,1,47,0,0,0,5,0,3,0,0,55
area,internal,0,6,0,0,0,0,0,0,0,0,6
area,others_issues,2,0,0,0,0,2,0,0,0,0,2
area,security_incident,21,0,0,0,0,9,0,0,0,0,9
area,security_suggestions,3,0,0,0,0,1,0,0,0,0,1
