category,total_tickets,open_on_hold_inprogress_reopened_tickets,resolved_tickets,closed_tickets,first_response_time_minutes,tickets_exceeding_first_response_time,first_escalation_minutes,tickets_reaching_first_escalation,second_escalation_minutes,tickets_reaching_second_escalation,third_escalation_minutes,tickets_reaching_third_escalation,fourth_escalation_minutes,tickets_reaching_fourth_escalation
COMMON_AREA,495,114,18,363,60,0,"1,440",13,"2,880",8,"4,320",7,"5,760",5
DATA_CORRECTION,1,0,0,1,,0,,0,,0,,0,,0
GAS_QUERIES,1,0,0,1,,0,,0,,0,,0,,0
GENERAL_SUGGESTIONS,2,2,0,0,,0,,0,,0,,0,,0
HOUSE_KEEPING,130,14,6,110,,0,,0,,0,,0,,0
INTERNAL,600,12,36,552,,0,,0,,0,,0,,0
MAINTENANCE_BILLING,6,0,0,6,,0,,0,,0,,0,,0
NBH_ISSUES,1,0,0,1,,0,,0,,0,,0,,0
OTHERS_ISSUES,16,6,4,6,,0,,0,,0,,0,,0
SECURITY_INCIDENT,24,23,0,1,,0,,0,,0,,0,,0
SECURITY_SUGGESTIONS,2,2,0,0,,0,,0,,0,,0,,0
STP_ISSUES,1,0,0,1,,0,,0,,0,,0,,0
WTP_ISSUES,3,0,0,3,,0,,0,,0,,0,,0
